folder_type,subfolder,filename,response,yes_no,explanation
raw,hard_negative,ann_115.png,"Yes, the cell at the center is undergoing mitosis because it exhibits condensed, dark, irregular chromosomal material arranged in distinct, scattered patterns, and lacks a visible nuclear membrane.",yes.,"the cell at the center is undergoing mitosis because it exhibits condensed, dark, irregular chromosomal material arranged in distinct, scattered patterns, and lacks a visible nuclear membrane."
raw,hard_negative,ann_117.png,"Yes, the cell at the center is undergoing mitosis. It displays highly condensed and irregularly arranged chromatin without a discernible nuclear membrane, consistent with condensed chromosomes in an active mitotic phase.",yes.,"the cell at the center is undergoing mitosis. It displays highly condensed and irregularly arranged chromatin without a discernible nuclear membrane, consistent with condensed chromosomes in an active mitotic phase."
raw,hard_negative,ann_119.png,"No. The cell at the center appears as a uniformly dark, round, and shrunken body, lacking the distinct condensed chromosome patterns and chaotic arrangement characteristic of an active mitotic figure.",no.,"The cell at the center appears as a uniformly dark, round, and shrunken body, lacking the distinct condensed chromosome patterns and chaotic arrangement characteristic of an active mitotic figure."
raw,hard_negative,ann_12.png,"NO, the cell at the center is a very dark, condensed nucleus lacking clear visualization of distinct chromosome arms or characteristic mitotic patterns.",no.,"the cell at the center is a very dark, condensed nucleus lacking clear visualization of distinct chromosome arms or characteristic mitotic patterns."
raw,hard_negative,ann_121.png,"Yes. The cell at the center shows highly condensed, irregular chromatin without a visible nuclear membrane, consistent with active chromosome condensation during mitosis.",yes.,"The cell at the center shows highly condensed, irregular chromatin without a visible nuclear membrane, consistent with active chromosome condensation during mitosis."
raw,hard_negative,ann_122.png,"Yes, the cell at the center displays densely condensed, irregular, and somewhat scattered chromatin without a discernible nuclear membrane, indicating active mitosis.",yes.,"the cell at the center displays densely condensed, irregular, and somewhat scattered chromatin without a discernible nuclear membrane, indicating active mitosis."
raw,hard_negative,ann_123.png,"Yes, the cell at the center is undergoing mitosis because it exhibits condensed, dark, and irregularly arranged chromatin without a clearly visible nuclear membrane, consistent with active chromosomal condensation.",yes.,"the cell at the center is undergoing mitosis because it exhibits condensed, dark, and irregularly arranged chromatin without a clearly visible nuclear membrane, consistent with active chromosomal condensation."
raw,hard_negative,ann_126.png,"Yes. The cell at the center shows condensed chromosomes arranged in an irregular, somewhat scattered pattern with no clear nuclear membrane, consistent with active mitosis.",yes.,"The cell at the center shows condensed chromosomes arranged in an irregular, somewhat scattered pattern with no clear nuclear membrane, consistent with active mitosis."
raw,hard_negative,ann_128.png,"No. The cell at the center is a dark, irregular mass of chromatin, but it does not clearly display distinct condensed chromosome patterns or individual chromosome arms characteristic of active mitosis.",no.,"The cell at the center is a dark, irregular mass of chromatin, but it does not clearly display distinct condensed chromosome patterns or individual chromosome arms characteristic of active mitosis."
raw,hard_negative,ann_129.png,"Yes, the cell at the center is undergoing mitosis because it exhibits highly condensed, irregular chromatin arranged in a chaotic, non-uniform pattern, consistent with distinct chromosome arms, and lacks a visible nuclear membrane.",yes.,"the cell at the center is undergoing mitosis because it exhibits highly condensed, irregular chromatin arranged in a chaotic, non-uniform pattern, consistent with distinct chromosome arms, and lacks a visible nuclear membrane."
raw,hard_negative,ann_132.png,"Yes, the cell at the center is undergoing mitosis because it displays very dark, irregularly condensed chromatin without a discernible nuclear membrane, forming a chaotic and asymmetric structure consistent with chromosome condensation.",yes.,"the cell at the center is undergoing mitosis because it displays very dark, irregularly condensed chromatin without a discernible nuclear membrane, forming a chaotic and asymmetric structure consistent with chromosome condensation."
raw,hard_negative,ann_136.png,"Yes, the cell at the center is undergoing mitosis because it displays condensed, irregularly arranged chromosomes in a chaotic, star-like pattern, with no visible nuclear membrane.",yes.,"the cell at the center is undergoing mitosis because it displays condensed, irregularly arranged chromosomes in a chaotic, star-like pattern, with no visible nuclear membrane."
raw,hard_negative,ann_137.png,"Yes. The cell at the center displays condensed, irregular, and dark chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane and a disorganized structure indicative of active division.",yes.,"The cell at the center displays condensed, irregular, and dark chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane and a disorganized structure indicative of active division."
raw,hard_negative,ann_138.png,"YES. The cell at the center exhibits condensed, dark, angular chromosome clusters consistent with a mitotic figure, lacking a defined nuclear membrane.",yes.,"The cell at the center exhibits condensed, dark, angular chromosome clusters consistent with a mitotic figure, lacking a defined nuclear membrane."
raw,hard_negative,ann_142.png,"Yes, the cell at the center is undergoing mitosis. The cell exhibits intensely condensed and irregular chromatin without a visible nuclear membrane, which is characteristic of active mitosis.",yes.,"the cell at the center is undergoing mitosis. The cell exhibits intensely condensed and irregular chromatin without a visible nuclear membrane, which is characteristic of active mitosis."
raw,hard_negative,ann_143.png,"Yes. The cell at the center shows condensed, dark, irregular chromatin arranged in distinct patterns, characteristic of chromosomes, and lacks a discernible nuclear membrane, indicating active mitosis.",yes.,"The cell at the center shows condensed, dark, irregular chromatin arranged in distinct patterns, characteristic of chromosomes, and lacks a discernible nuclear membrane, indicating active mitosis."
raw,hard_negative,ann_145.png,"YES. The cell at the center displays condensed, dark chromatin arranged in a chaotic, irregular pattern indicative of chromosomes during mitosis, with no visible nuclear membrane.",yes.,"The cell at the center displays condensed, dark chromatin arranged in a chaotic, irregular pattern indicative of chromosomes during mitosis, with no visible nuclear membrane."
raw,hard_negative,ann_146.png,"YES. The central cell displays condensed, irregular, dark chromatin characteristic of chromosomal material, and the absence of a defined nuclear membrane indicates it is in a phase of mitosis.",yes.,"The central cell displays condensed, irregular, dark chromatin characteristic of chromosomal material, and the absence of a defined nuclear membrane indicates it is in a phase of mitosis."
raw,hard_negative,ann_148.png,"Yes. The central cell displays disorganized, condensed, and dark chromosomal material lacking an intact nuclear membrane, which is characteristic of a cell in the active stages of mitosis.",yes.,"The central cell displays disorganized, condensed, and dark chromosomal material lacking an intact nuclear membrane, which is characteristic of a cell in the active stages of mitosis."
raw,hard_negative,ann_149.png,"YES. The cell exhibits a dark, irregularly shaped, condensed mass of chromatin with distinct projections indicative of active chromosome alignment during mitosis, lacking an intact nuclear envelope.",yes.,"The cell exhibits a dark, irregularly shaped, condensed mass of chromatin with distinct projections indicative of active chromosome alignment during mitosis, lacking an intact nuclear envelope."
raw,hard_negative,ann_15.png,"YES. The cell at the center displays characteristic dark, condensed chromosomes arranged in a distinct, irregular configuration with no visible nuclear membrane, which is consistent with a mitotic figure in metaphase or anaphase.",yes.,"The cell at the center displays characteristic dark, condensed chromosomes arranged in a distinct, irregular configuration with no visible nuclear membrane, which is consistent with a mitotic figure in metaphase or anaphase."
raw,hard_negative,ann_150.png,"Yes. The central cell displays condensed, dark chromatin arranged in an irregular, angular pattern consistent with the stages of mitosis, lacking a clear nuclear membrane.",yes.,"The central cell displays condensed, dark chromatin arranged in an irregular, angular pattern consistent with the stages of mitosis, lacking a clear nuclear membrane."
raw,hard_negative,ann_151.png,"YES. The central cell displays condensed, dark chromatin arranged in a V-shaped or irregular configuration lacking a nuclear membrane, consistent with a mitotic figure.",yes.,"The central cell displays condensed, dark chromatin arranged in a V-shaped or irregular configuration lacking a nuclear membrane, consistent with a mitotic figure."
raw,hard_negative,ann_152.png,"YES. The central structure exhibits condensed, dark, elongated chromosomal arms with no visible nuclear membrane, which is characteristic of a mitotic figure in the stage of metaphase or early anaphase.",yes.,"The central structure exhibits condensed, dark, elongated chromosomal arms with no visible nuclear membrane, which is characteristic of a mitotic figure in the stage of metaphase or early anaphase."
raw,hard_negative,ann_153.png,"YES. The central cell displays highly condensed, distinct chromosomal material with a fragmented appearance and lack of an intact nuclear membrane, which are hallmark features of a cell in an active phase of mitosis.",yes.,"The central cell displays highly condensed, distinct chromosomal material with a fragmented appearance and lack of an intact nuclear membrane, which are hallmark features of a cell in an active phase of mitosis."
raw,hard_negative,ann_157.png,"No. The cell at the center shows a standard, slightly enlarged nucleus with a visible nuclear membrane and does not exhibit the condensed, structured chromosome arrangements characteristic of a mitotic figure.",no.,"The cell at the center shows a standard, slightly enlarged nucleus with a visible nuclear membrane and does not exhibit the condensed, structured chromosome arrangements characteristic of a mitotic figure."
raw,hard_negative,ann_158.png,"YES. The central cell clearly displays condensed, irregular, and scattered chromosomal material without an intact nuclear membrane, characteristic of an active mitotic figure.",yes.,"The central cell clearly displays condensed, irregular, and scattered chromosomal material without an intact nuclear membrane, characteristic of an active mitotic figure."
raw,hard_negative,ann_159.png,"Yes. The cell at the center displays condensed, irregular chromatin arrangements and lacks a defined nuclear membrane, which are characteristic features of a mitotic figure.",yes.,"The cell at the center displays condensed, irregular chromatin arrangements and lacks a defined nuclear membrane, which are characteristic features of a mitotic figure."
raw,hard_negative,ann_16.png,"No. The cell at the center shows a dense, dark nucleus with a relatively smooth, intact contour that lacks the organized chromosomal structures, such as distinct arms or a star-shaped configuration, required to classify it as a mitotic figure.",no.,"The cell at the center shows a dense, dark nucleus with a relatively smooth, intact contour that lacks the organized chromosomal structures, such as distinct arms or a star-shaped configuration, required to classify it as a mitotic figure."
raw,hard_negative,ann_160.png,"YES. The cell at the center exhibits condensed, irregular, and dark-staining chromatin characteristic of chromosomal segregation, lacking a distinct nuclear membrane and showing the disorganized structure associated with a mitotic figure.",yes.,"The cell at the center exhibits condensed, irregular, and dark-staining chromatin characteristic of chromosomal segregation, lacking a distinct nuclear membrane and showing the disorganized structure associated with a mitotic figure."
raw,hard_negative,ann_161.png,"YES. The cell at the center exhibits highly condensed, irregular, and angular chromosomal material without a discernible nuclear membrane, characteristic of a mitotic figure in the metaphase or anaphase stage.",yes.,"The cell at the center exhibits highly condensed, irregular, and angular chromosomal material without a discernible nuclear membrane, characteristic of a mitotic figure in the metaphase or anaphase stage."
raw,hard_negative,ann_163.png,"YES. The cell at the center displays condensed, irregular, and asymmetric chromosomal material with a lack of a clear nuclear membrane, characteristic of a mitotic figure (likely in prophase or metaphase).",yes.,"The cell at the center displays condensed, irregular, and asymmetric chromosomal material with a lack of a clear nuclear membrane, characteristic of a mitotic figure (likely in prophase or metaphase)."
raw,hard_negative,ann_164.png,"YES. The central cell displays condensed, dark chromatin arranged in irregular, angular patterns characteristic of a chromosome spread during mitosis, with no clear nuclear membrane visible.",yes.,"The central cell displays condensed, dark chromatin arranged in irregular, angular patterns characteristic of a chromosome spread during mitosis, with no clear nuclear membrane visible."
raw,hard_negative,ann_166.png,"No. The cell at the center shows a condensed, round, and smooth appearance with a visible nuclear membrane, which is consistent with an apoptotic or hyperchromatic nucleus rather than the organized chromosome structures characteristic of mitosis.",no.,"The cell at the center shows a condensed, round, and smooth appearance with a visible nuclear membrane, which is consistent with an apoptotic or hyperchromatic nucleus rather than the organized chromosome structures characteristic of mitosis."
raw,hard_negative,ann_167.png,"Yes. The cell at the center shows dense, irregularly clumped chromatin lacking an intact nuclear membrane, which is consistent with the chromosomal condensation seen in a mitotic figure.",yes.,"The cell at the center shows dense, irregularly clumped chromatin lacking an intact nuclear membrane, which is consistent with the chromosomal condensation seen in a mitotic figure."
raw,hard_negative,ann_170.png,"YES. The central cell displays condensed, dark chromatin lacking a distinct nuclear membrane and shows an irregular, compact shape characteristic of a cell in metaphase or anaphase.",yes.,"The central cell displays condensed, dark chromatin lacking a distinct nuclear membrane and shows an irregular, compact shape characteristic of a cell in metaphase or anaphase."
raw,hard_negative,ann_173.png,"Yes. The central cell displays condensed, dark chromosomal material arranged in a distinct pattern with no visible nuclear membrane, which is characteristic of a cell in the active stages of mitosis.",yes.,"The central cell displays condensed, dark chromosomal material arranged in a distinct pattern with no visible nuclear membrane, which is characteristic of a cell in the active stages of mitosis."
raw,hard_negative,ann_174.png,"YES. The central cell displays condensed, dark chromatin arranged in a V-shaped pattern characteristic of a chromosome set during anaphase, with no intact nuclear membrane visible.",yes.,"The central cell displays condensed, dark chromatin arranged in a V-shaped pattern characteristic of a chromosome set during anaphase, with no intact nuclear membrane visible."
raw,hard_negative,ann_175.png,"YES. The central cell displays condensed, dark chromatin arranged in irregular, angular patterns with no visible nuclear membrane, which are characteristic features of a cell in the metaphase or anaphase stage of mitosis.",yes.,"The central cell displays condensed, dark chromatin arranged in irregular, angular patterns with no visible nuclear membrane, which are characteristic features of a cell in the metaphase or anaphase stage of mitosis."
raw,hard_negative,ann_176.png,"No. The cell at the center shows a hyperchromatic, enlarged nucleus with an intact nuclear membrane and visible nucleoli rather than the condensed, chaotic chromosomal patterns characteristic of mitosis.",no.,"The cell at the center shows a hyperchromatic, enlarged nucleus with an intact nuclear membrane and visible nucleoli rather than the condensed, chaotic chromosomal patterns characteristic of mitosis."
raw,hard_negative,ann_177.png,"YES. The cell at the center exhibits classic features of a mitotic figure, characterized by condensed, irregularly shaped chromatin arranged in a distinct, V-shaped configuration with no visible nuclear membrane.",yes.,"The cell at the center exhibits classic features of a mitotic figure, characterized by condensed, irregularly shaped chromatin arranged in a distinct, V-shaped configuration with no visible nuclear membrane."
raw,hard_negative,ann_178.png,"No. The cell at the center exhibits a round, distinct nuclear membrane and a clear nucleolus, which are characteristics of an intact interphase nucleus rather than the condensed, irregular chromatin structure seen in mitosis.",no.,"The cell at the center exhibits a round, distinct nuclear membrane and a clear nucleolus, which are characteristics of an intact interphase nucleus rather than the condensed, irregular chromatin structure seen in mitosis."
raw,hard_negative,ann_179.png,"YES. The central cell displays dense, irregular, clumped chromatin with a lack of a clear nuclear membrane, consistent with the characteristic morphology of a mitotic figure.",yes.,"The central cell displays dense, irregular, clumped chromatin with a lack of a clear nuclear membrane, consistent with the characteristic morphology of a mitotic figure."
raw,hard_negative,ann_180.png,"NO. The cell at the center shows a distinct, intact nuclear membrane and a roundish, uniform chromatin appearance consistent with a hyperchromatic nucleus rather than the chaotic, chromosome-based structure of an active mitotic figure.",no.,"The cell at the center shows a distinct, intact nuclear membrane and a roundish, uniform chromatin appearance consistent with a hyperchromatic nucleus rather than the chaotic, chromosome-based structure of an active mitotic figure."
raw,hard_negative,ann_181.png,"No. The cell at the center shows a condensed, hyperchromatic nucleus, but it maintains a smooth, rounded contour with an intact nuclear boundary rather than the distinct, irregular chromosome arms or star-shaped organization characteristic of an active mitotic figure.",no.,"The cell at the center shows a condensed, hyperchromatic nucleus, but it maintains a smooth, rounded contour with an intact nuclear boundary rather than the distinct, irregular chromosome arms or star-shaped organization characteristic of an active mitotic figure."
raw,hard_negative,ann_182.png,"YES. The central cell displays condensed, dark chromatin organized into irregular shapes lacking a distinct nuclear membrane, which is characteristic of a mitotic figure (likely in prophase or metaphase).",yes.,"The central cell displays condensed, dark chromatin organized into irregular shapes lacking a distinct nuclear membrane, which is characteristic of a mitotic figure (likely in prophase or metaphase)."
raw,hard_negative,ann_183.png,"NO. The central cell displays a binucleate appearance with distinct, intact nuclear membranes and prominent nucleoli, which are features of normal or atypical interphase cells rather than the chromosomal arrangement characteristic of mitosis.",no.,"The central cell displays a binucleate appearance with distinct, intact nuclear membranes and prominent nucleoli, which are features of normal or atypical interphase cells rather than the chromosomal arrangement characteristic of mitosis."
raw,hard_negative,ann_184.png,"Yes. The cell at the center exhibits condensed, dark chromosomal material with an irregular, non-spherical morphology and no visible nuclear membrane, which are classic characteristics of a mitotic figure.",yes.,"The cell at the center exhibits condensed, dark chromosomal material with an irregular, non-spherical morphology and no visible nuclear membrane, which are classic characteristics of a mitotic figure."
raw,hard_negative,ann_185.png,"No. The central cell contains a large, somewhat irregular nucleus, but it retains a distinct nuclear envelope and lacks the clear, condensed chromosomal structures or chaotic arrangement characteristic of a mitotic figure.",no.,"The central cell contains a large, somewhat irregular nucleus, but it retains a distinct nuclear envelope and lacks the clear, condensed chromosomal structures or chaotic arrangement characteristic of a mitotic figure."
raw,hard_negative,ann_186.png,"Yes. The cell at the center exhibits condensed, dark, irregular chromosomal material that is no longer enclosed within an intact nuclear membrane, which is characteristic of a mitotic figure.",yes.,"The cell at the center exhibits condensed, dark, irregular chromosomal material that is no longer enclosed within an intact nuclear membrane, which is characteristic of a mitotic figure."
raw,hard_negative,ann_187.png,"YES. The cell at the center exhibits condensed, irregular, and clustered chromatin without a distinct nuclear envelope, characteristic of the chromosomal arrangement seen in a mitotic figure.",yes.,"The cell at the center exhibits condensed, irregular, and clustered chromatin without a distinct nuclear envelope, characteristic of the chromosomal arrangement seen in a mitotic figure."
raw,hard_negative,ann_188.png,"NO. The cell at the center has a visible nuclear membrane enclosing dark, hyperchromatic chromatin that lacks the distinct, condensed chromosome structure characteristic of active mitosis.",no.,"The cell at the center has a visible nuclear membrane enclosing dark, hyperchromatic chromatin that lacks the distinct, condensed chromosome structure characteristic of active mitosis."
raw,hard_negative,ann_189.png,"YES. The central cell displays dense, irregular, basophilic material characteristic of condensed chromosomes organized in a chaotic, non-spherical arrangement, indicating active mitosis.",yes.,"The central cell displays dense, irregular, basophilic material characteristic of condensed chromosomes organized in a chaotic, non-spherical arrangement, indicating active mitosis."
raw,hard_negative,ann_19.png,"YES. The cell at the center exhibits classic features of a mitotic figure, including condensed, dark chromatin organized into distinct chromosomal structures without a discernible nuclear membrane.",yes.,"The cell at the center exhibits classic features of a mitotic figure, including condensed, dark chromatin organized into distinct chromosomal structures without a discernible nuclear membrane."
raw,hard_negative,ann_190.png,"No. The cell at the center contains a large, round, intact nucleus with a visible nucleolus and nuclear membrane, which is characteristic of a hyperchromatic cancer cell rather than the disrupted, fragmented chromatin seen in active mitosis.",no.,"The cell at the center contains a large, round, intact nucleus with a visible nucleolus and nuclear membrane, which is characteristic of a hyperchromatic cancer cell rather than the disrupted, fragmented chromatin seen in active mitosis."
raw,hard_negative,ann_191.png,"YES. The cell at the center exhibits classic features of a mitotic figure, characterized by condensed, irregularly shaped chromatin forming distinct, dark-staining chromosome arms without a visible nuclear membrane.",yes.,"The cell at the center exhibits classic features of a mitotic figure, characterized by condensed, irregularly shaped chromatin forming distinct, dark-staining chromosome arms without a visible nuclear membrane."
raw,hard_negative,ann_192.png,"YES. The cell at the center displays condensed, irregular, and clustered chromosomal material without a visible nuclear membrane, which are hallmark features of a mitotic figure in the process of chromosome segregation.",yes.,"The cell at the center displays condensed, irregular, and clustered chromosomal material without a visible nuclear membrane, which are hallmark features of a mitotic figure in the process of chromosome segregation."
raw,hard_negative,ann_195.png,"YES. The cell at the center exhibits two distinct, darkly stained, condensed chromosomal masses characteristic of a mitotic figure (likely in anaphase), lacking a visible nuclear membrane.",yes.,"The cell at the center exhibits two distinct, darkly stained, condensed chromosomal masses characteristic of a mitotic figure (likely in anaphase), lacking a visible nuclear membrane."
raw,hard_negative,ann_197.png,"No. The cell at the center has a round, dark, and smooth appearance with a clearly visible nuclear membrane, which is characteristic of an apoptotic or hyperchromatic nucleus rather than the distinct, jagged chromosome condensation patterns of a mitotic figure.",no.,"The cell at the center has a round, dark, and smooth appearance with a clearly visible nuclear membrane, which is characteristic of an apoptotic or hyperchromatic nucleus rather than the distinct, jagged chromosome condensation patterns of a mitotic figure."
raw,hard_negative,ann_198.png,"YES. The central cell exhibits characteristic features of a mitotic figure, including condensed, dark chromosomal material arranged in a non-uniform, angular pattern with an absent nuclear membrane, indicative of active cell division.",yes.,"The central cell exhibits characteristic features of a mitotic figure, including condensed, dark chromosomal material arranged in a non-uniform, angular pattern with an absent nuclear membrane, indicative of active cell division."
raw,hard_negative,ann_199.png,"Yes. The central cell displays highly condensed, dark chromosomal material that lacks an intact nuclear membrane, characteristic of an active mitotic figure.",yes.,"The central cell displays highly condensed, dark chromosomal material that lacks an intact nuclear membrane, characteristic of an active mitotic figure."
raw,hard_negative,ann_2.png,"NO. The central cell displays a dense, hyperchromatic, and rounded nucleus with an intact nuclear boundary, which is characteristic of a non-dividing cancer cell rather than the distinct condensed chromosome arms and lack of nuclear membrane required to classify a cell as being in mitosis.",no.,"The central cell displays a dense, hyperchromatic, and rounded nucleus with an intact nuclear boundary, which is characteristic of a non-dividing cancer cell rather than the distinct condensed chromosome arms and lack of nuclear membrane required to classify a cell as being in mitosis."
raw,hard_negative,ann_203.png,"Yes. The central structure exhibits condensed, dark, elongated chromosomal material in a V-like configuration typical of a mitotic figure, with no visible nuclear membrane.",yes.,"The central structure exhibits condensed, dark, elongated chromosomal material in a V-like configuration typical of a mitotic figure, with no visible nuclear membrane."
raw,hard_negative,ann_205.png,"Yes. The central cell displays condensed, dark chromosomal material without a discernible nuclear membrane, characteristic of a mitotic figure, likely in late prophase or prometaphase.",yes.,"The central cell displays condensed, dark chromosomal material without a discernible nuclear membrane, characteristic of a mitotic figure, likely in late prophase or prometaphase."
raw,hard_negative,ann_207.png,"YES. The cell at the center displays condensed, dark, angular chromosome clusters consistent with a mitotic figure, lacking an intact nuclear membrane.",yes.,"The cell at the center displays condensed, dark, angular chromosome clusters consistent with a mitotic figure, lacking an intact nuclear membrane."
raw,hard_negative,ann_208.png,"Yes. The cell at the center exhibits condensed, dark, irregular chromosomal material arranged in a V-shaped or star-like configuration, which is characteristic of the metaphase stage of mitosis.",yes.,"The cell at the center exhibits condensed, dark, irregular chromosomal material arranged in a V-shaped or star-like configuration, which is characteristic of the metaphase stage of mitosis."
raw,hard_negative,ann_209.png,"YES. The central cell displays condensed, dark chromatin arranged in a distinct, irregular, and somewhat V-shaped configuration characteristic of chromosomes during mitosis, with no visible nuclear membrane.",yes.,"The central cell displays condensed, dark chromatin arranged in a distinct, irregular, and somewhat V-shaped configuration characteristic of chromosomes during mitosis, with no visible nuclear membrane."
raw,hard_negative,ann_21.png,"Yes. The central cell displays condensed, irregular, and somewhat angular chromatin material consistent with the formation of distinct chromosome structures during the active stages of mitosis.",yes.,"The central cell displays condensed, irregular, and somewhat angular chromatin material consistent with the formation of distinct chromosome structures during the active stages of mitosis."
raw,hard_negative,ann_210.png,"YES. The central cell displays condensed, irregular, and somewhat disjointed chromatin material with a loss of a distinct nuclear membrane, consistent with the metaphase or anaphase stage of mitosis.",yes.,"The central cell displays condensed, irregular, and somewhat disjointed chromatin material with a loss of a distinct nuclear membrane, consistent with the metaphase or anaphase stage of mitosis."
raw,hard_negative,ann_214.png,"Yes. The cell at the center exhibits condensed, dark, irregular chromosomal material without a discernible nuclear membrane, characteristic of an active mitotic figure.",yes.,"The cell at the center exhibits condensed, dark, irregular chromosomal material without a discernible nuclear membrane, characteristic of an active mitotic figure."
raw,hard_negative,ann_217.png,"Yes. The cell at the center exhibits highly condensed, irregular chromatin arranged in a V-shaped pattern, which is characteristic of the anaphase stage of mitosis.",yes.,"The cell at the center exhibits highly condensed, irregular chromatin arranged in a V-shaped pattern, which is characteristic of the anaphase stage of mitosis."
raw,hard_negative,ann_219.png,"Yes. The central cell displays distinct, condensed, and dark chromosomal material lacking an intact nuclear membrane, which is characteristic of a mitotic figure in the metaphase or anaphase stage.",yes.,"The central cell displays distinct, condensed, and dark chromosomal material lacking an intact nuclear membrane, which is characteristic of a mitotic figure in the metaphase or anaphase stage."
raw,hard_negative,ann_220.png,"YES. The cell at the center exhibits a dark, irregularly shaped cluster of condensed chromatin with distinct edges lacking a visible nuclear membrane, which is characteristic of the chromosomal arrangement seen during mitosis.",yes.,"The cell at the center exhibits a dark, irregularly shaped cluster of condensed chromatin with distinct edges lacking a visible nuclear membrane, which is characteristic of the chromosomal arrangement seen during mitosis."
raw,hard_negative,ann_221.png,"No. The cell at the center shows a condensed, hyperchromatic, and somewhat irregular nucleus, but it retains a distinct, smooth-bordered shape consistent with an apoptotic or degenerative nucleus rather than the organized, star-shaped, or distinct chromosome arm structures characteristic of an active mitotic figure.",no.,"The cell at the center shows a condensed, hyperchromatic, and somewhat irregular nucleus, but it retains a distinct, smooth-bordered shape consistent with an apoptotic or degenerative nucleus rather than the organized, star-shaped, or distinct chromosome arm structures characteristic of an active mitotic figure."
raw,hard_negative,ann_222.png,"Yes. The cell at the center exhibits dark, condensed chromatin arranged in a V-shaped pattern without an intact nuclear membrane, characteristic of a mitotic figure in the process of chromosome segregation.",yes.,"The cell at the center exhibits dark, condensed chromatin arranged in a V-shaped pattern without an intact nuclear membrane, characteristic of a mitotic figure in the process of chromosome segregation."
raw,hard_negative,ann_226.png,"Yes. The cell exhibits clear chromosome condensation in a condensed, irregular form characteristic of a mitotic figure, lacking an intact nuclear membrane.",yes.,"The cell exhibits clear chromosome condensation in a condensed, irregular form characteristic of a mitotic figure, lacking an intact nuclear membrane."
