ann_id,image_id,filename,label,category_id,condition,ground_truth,prediction,confidence,response,explanation
17,2,002.tiff,mitotic,1,raw,1,1,95,"Yes, 95% confidence. The cell at the center exhibits densely stained, irregular chromosomal material in an asymmetric configuration, characteristic of a mitotic figure where the nuclear membrane has dissolved.","The cell at the center exhibits densely stained, irregular chromosomal material in an asymmetric configuration, characteristic of a mitotic figure where the nuclear membrane has dissolved."
17,2,002.tiff,mitotic,1,bbox,1,1,95,"Yes, 95% confidence. The cell exhibits clearly condensed, irregular chromosomal material with no intact nuclear membrane, which is characteristic of a mitotic figure.","The cell exhibits clearly condensed, irregular chromosomal material with no intact nuclear membrane, which is characteristic of a mitotic figure."
17,2,002.tiff,mitotic,1,mask,1,1,95,"Yes, 95% confidence. The cell exhibits clear chromosomal condensation, lacks a visible nuclear membrane, and displays the irregular, distinct chromatin arrangement characteristic of a mitotic figure.","The cell exhibits clear chromosomal condensation, lacks a visible nuclear membrane, and displays the irregular, distinct chromatin arrangement characteristic of a mitotic figure."
18,2,002.tiff,mitotic,1,raw,1,1,95,"Yes, 95% confidence. The cell at the center exhibits characteristic condensed, irregular chromosomal material arranged in a dark, distinct pattern with no visible nuclear membrane, which is diagnostic of a mitotic figure.","The cell at the center exhibits characteristic condensed, irregular chromosomal material arranged in a dark, distinct pattern with no visible nuclear membrane, which is diagnostic of a mitotic figure."
18,2,002.tiff,mitotic,1,bbox,1,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed chromosomes in a disorganized, dark, and irregular pattern characteristic of a mitotic figure, with no visible nuclear membrane.","The cell clearly exhibits condensed chromosomes in a disorganized, dark, and irregular pattern characteristic of a mitotic figure, with no visible nuclear membrane."
18,2,002.tiff,mitotic,1,mask,1,1,90,"Yes, 90% confidence. The highlighted region shows the characteristic morphology of a mitotic figure, with condensed, irregular chromosomal material lacking an intact nuclear membrane.","The highlighted region shows the characteristic morphology of a mitotic figure, with condensed, irregular chromosomal material lacking an intact nuclear membrane."
19,2,002.tiff,hard_negative,2,raw,0,1,95,"Yes, 95% confidence. The cell at the center exhibits clearly condensed, dark chromosomal material arranged in a pattern consistent with an active mitotic figure, with no visible nuclear membrane.","The cell at the center exhibits clearly condensed, dark chromosomal material arranged in a pattern consistent with an active mitotic figure, with no visible nuclear membrane."
19,2,002.tiff,hard_negative,2,bbox,0,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed, irregular chromosomal material organized into a distinct pattern with no visible nuclear membrane, which is characteristic of a mitotic figure.","The cell clearly exhibits condensed, irregular chromosomal material organized into a distinct pattern with no visible nuclear membrane, which is characteristic of a mitotic figure."
19,2,002.tiff,hard_negative,2,mask,0,0,95,"No, 95% confidence. The cell appears to have an intact nuclear membrane and a nucleolus, which is characteristic of an interphase nucleus rather than the condensed, irregular chromosomal structure of a mitotic figure.","The cell appears to have an intact nuclear membrane and a nucleolus, which is characteristic of an interphase nucleus rather than the condensed, irregular chromosomal structure of a mitotic figure."
20,2,002.tiff,mitotic,1,raw,1,1,95,"Yes, 95% confidence. The cell at the center shows clearly condensed, dark-stained, irregular chromosomal material arranged in a V-shape, lacking a nuclear membrane, which is characteristic of a mitotic figure in late prophase or metaphase.","The cell at the center shows clearly condensed, dark-stained, irregular chromosomal material arranged in a V-shape, lacking a nuclear membrane, which is characteristic of a mitotic figure in late prophase or metaphase."
20,2,002.tiff,mitotic,1,bbox,1,1,95,"Yes, 95% confidence. The cell shows highly condensed, irregular chromatin arranged in a distinct, elongated, and fragmented configuration indicative of active mitosis.","The cell shows highly condensed, irregular chromatin arranged in a distinct, elongated, and fragmented configuration indicative of active mitosis."
20,2,002.tiff,mitotic,1,mask,1,0,95,"No, 95% confidence. The highlighted nucleus is hyperchromatic and displays a dark, pyknotic appearance characteristic of an apoptotic or degenerating cell, rather than the organized, distinct chromosomal arms required for active mitosis.","The highlighted nucleus is hyperchromatic and displays a dark, pyknotic appearance characteristic of an apoptotic or degenerating cell, rather than the organized, distinct chromosomal arms required for active mitosis."
21,3,003.tiff,hard_negative,2,raw,0,1,90,"Yes, 90% confidence. The cell at the center exhibits condensed, dark chromosomal material arranged in an irregular, distinct pattern that lacks an intact nuclear membrane, which is characteristic of the prophase/metaphase stage of mitosis.","The cell at the center exhibits condensed, dark chromosomal material arranged in an irregular, distinct pattern that lacks an intact nuclear membrane, which is characteristic of the prophase/metaphase stage of mitosis."
21,3,003.tiff,hard_negative,2,bbox,0,1,90,"Yes, 90% confidence. The cell exhibits a dark, condensed, and irregular configuration of chromatin characteristic of a mitotic figure, lacking an intact nuclear membrane.","The cell exhibits a dark, condensed, and irregular configuration of chromatin characteristic of a mitotic figure, lacking an intact nuclear membrane."
21,3,003.tiff,hard_negative,2,mask,0,0,95,"No, 95% confidence. The highlighted nucleus appears as a small, dense, and uniformly hyperchromatic pyknotic body consistent with apoptosis or necrosis rather than the organized chromosomal structures characteristic of active mitosis.","The highlighted nucleus appears as a small, dense, and uniformly hyperchromatic pyknotic body consistent with apoptosis or necrosis rather than the organized chromosomal structures characteristic of active mitosis."
22,3,003.tiff,mitotic,1,raw,1,1,95,"Yes, 95% confidence. The cell at the center shows clearly condensed, dark chromosomal material arranged in a V-shape, lacking an intact nuclear membrane, which is characteristic of a mitotic figure in metaphase or anaphase.","The cell at the center shows clearly condensed, dark chromosomal material arranged in a V-shape, lacking an intact nuclear membrane, which is characteristic of a mitotic figure in metaphase or anaphase."
22,3,003.tiff,mitotic,1,bbox,1,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed, dark chromosomal material arranged in a characteristic mitotic configuration with no visible nuclear membrane, consistent with a mitotic figure.","The cell clearly exhibits condensed, dark chromosomal material arranged in a characteristic mitotic configuration with no visible nuclear membrane, consistent with a mitotic figure."
22,3,003.tiff,mitotic,1,mask,1,0,95,"No, 95% confidence. The highlighted nucleus appears pyknotic and apoptotic, characterized by condensed, shrunken, and deeply basophilic chromatin without the organized chromosome arrangement typical of a mitotic figure.","The highlighted nucleus appears pyknotic and apoptotic, characterized by condensed, shrunken, and deeply basophilic chromatin without the organized chromosome arrangement typical of a mitotic figure."
23,3,003.tiff,hard_negative,2,raw,0,0,95,"No, 95% confidence. The cell at the center of the image has a clearly defined nuclear membrane and a round, intact, dark-staining nucleus, which is characteristic of a hyperchromatic nucleus rather than a mitotic figure.","The cell at the center of the image has a clearly defined nuclear membrane and a round, intact, dark-staining nucleus, which is characteristic of a hyperchromatic nucleus rather than a mitotic figure."
23,3,003.tiff,hard_negative,2,bbox,0,1,90,"Yes, 90% confidence. The cell clearly exhibits condensed, irregular, and angular chromosomal material consistent with the anaphase or telophase stage of mitosis, lacking a discernible nuclear membrane.","The cell clearly exhibits condensed, irregular, and angular chromosomal material consistent with the anaphase or telophase stage of mitosis, lacking a discernible nuclear membrane."
23,3,003.tiff,hard_negative,2,mask,0,0,90,"No, 90% confidence. The cell nucleus appears hyperchromatic and somewhat rounded, but it lacks the distinct condensed chromosome arms or organized structures characteristic of a mitotic figure, likely representing an apoptotic or simply dark-staining cell.","The cell nucleus appears hyperchromatic and somewhat rounded, but it lacks the distinct condensed chromosome arms or organized structures characteristic of a mitotic figure, likely representing an apoptotic or simply dark-staining cell."
24,3,003.tiff,hard_negative,2,raw,0,0,95,"No, 95% confidence. The cell at the center has a smooth, intact nuclear membrane and a round, dense, hyperchromatic appearance characteristic of a pyknotic/apoptotic cell rather than the distinct, fragmented chromosomal architecture seen in active mitosis.","The cell at the center has a smooth, intact nuclear membrane and a round, dense, hyperchromatic appearance characteristic of a pyknotic/apoptotic cell rather than the distinct, fragmented chromosomal architecture seen in active mitosis."
24,3,003.tiff,hard_negative,2,bbox,0,0,95,"No, 95% confidence. The cell inside the box is a hyperchromatic, shrunken nucleus likely undergoing apoptosis, as it maintains a smooth, rounded nuclear boundary without the distinct chromosome arms or complex geometry characteristic of active mitosis.","The cell inside the box is a hyperchromatic, shrunken nucleus likely undergoing apoptosis, as it maintains a smooth, rounded nuclear boundary without the distinct chromosome arms or complex geometry characteristic of active mitosis."
24,3,003.tiff,hard_negative,2,mask,0,0,95,"No, 95% confidence. The nucleus is round, maintains an intact boundary, and lacks the characteristic condensed, star-shaped, or irregular chromosomal arrangement required to classify it as a mitotic figure.","The nucleus is round, maintains an intact boundary, and lacks the characteristic condensed, star-shaped, or irregular chromosomal arrangement required to classify it as a mitotic figure."
25,3,003.tiff,mitotic,1,raw,1,1,95,"Yes, 95% confidence. The cell at the center shows condensed, irregular chromosomal material with a distinct morphology typical of a mitotic figure, lacking an intact nuclear membrane.","The cell at the center shows condensed, irregular chromosomal material with a distinct morphology typical of a mitotic figure, lacking an intact nuclear membrane."
25,3,003.tiff,mitotic,1,bbox,1,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed, radiating chromosomal material with no intact nuclear membrane, which is characteristic of the metaphase stage of mitosis.","The cell clearly exhibits condensed, radiating chromosomal material with no intact nuclear membrane, which is characteristic of the metaphase stage of mitosis."
25,3,003.tiff,mitotic,1,mask,1,0,95,"No, 95% confidence. The highlighted nucleus appears as a dense, homogeneous, and somewhat shrunken mass typical of an apoptotic or hyperchromatic cell rather than the distinct, organized chromosome morphology required to confirm an active mitotic figure.","The highlighted nucleus appears as a dense, homogeneous, and somewhat shrunken mass typical of an apoptotic or hyperchromatic cell rather than the distinct, organized chromosome morphology required to confirm an active mitotic figure."
26,3,003.tiff,mitotic,1,raw,1,1,95,"Yes, 95% confidence. The cell at the center shows a distinct, dark, condensed rod-like chromosomal structure characteristic of a mitotic figure, with no visible nuclear membrane.","The cell at the center shows a distinct, dark, condensed rod-like chromosomal structure characteristic of a mitotic figure, with no visible nuclear membrane."
26,3,003.tiff,mitotic,1,bbox,1,1,95,"Yes, 95% confidence. The cell shows clear, elongated, and condensed chromosomal material characteristic of the metaphase stage of mitosis, with no visible nuclear membrane.","The cell shows clear, elongated, and condensed chromosomal material characteristic of the metaphase stage of mitosis, with no visible nuclear membrane."
26,3,003.tiff,mitotic,1,mask,1,1,95,"Yes, 95% confidence. The highlighted nucleus clearly exhibits condensed chromosomes arranged in a distinct, elongated, plate-like pattern characteristic of the metaphase stage of mitosis, with no visible nuclear membrane.","The highlighted nucleus clearly exhibits condensed chromosomes arranged in a distinct, elongated, plate-like pattern characteristic of the metaphase stage of mitosis, with no visible nuclear membrane."
27,3,003.tiff,hard_negative,2,raw,0,1,90,"Yes, 90% confidence. The cell at the center shows distinct, condensed chromosomal material without an intact nuclear membrane, characteristic of a mitotic figure in metaphase or early anaphase.","The cell at the center shows distinct, condensed chromosomal material without an intact nuclear membrane, characteristic of a mitotic figure in metaphase or early anaphase."
27,3,003.tiff,hard_negative,2,bbox,0,0,90,"No, 90% confidence. The cell exhibits a dark, rounded, and condensed nucleus typical of an apoptotic body or a hyperchromatic nucleus rather than the distinct, organized chromosomal structures characteristic of active mitosis.","The cell exhibits a dark, rounded, and condensed nucleus typical of an apoptotic body or a hyperchromatic nucleus rather than the distinct, organized chromosomal structures characteristic of active mitosis."
27,3,003.tiff,hard_negative,2,mask,0,0,95,"No, 95% confidence. The cell exhibits a dark, round, and shrunken nucleus with a clearly visible nuclear membrane, which is characteristic of an apoptotic cell rather than a mitotic figure.","The cell exhibits a dark, round, and shrunken nucleus with a clearly visible nuclear membrane, which is characteristic of an apoptotic cell rather than a mitotic figure."
