folder_type,subfolder,filename,response,yes_no,explanation
raw,hard_negative,ann_123.png,"Yes. The cell at the center exhibits condensed, dark-staining chromatin arranged in a dense cluster characteristic of the chromatin condensation seen in the prophase or metaphase stage of mitosis.",yes.,"The cell at the center exhibits condensed, dark-staining chromatin arranged in a dense cluster characteristic of the chromatin condensation seen in the prophase or metaphase stage of mitosis."
raw,hard_negative,ann_126.png,"Yes. The cell at the center shows a distinct, dark-staining, bilobed structure consistent with the chromosomes aligned during mitosis, likely in the late prophase or prometaphase stage.",yes.,"The cell at the center shows a distinct, dark-staining, bilobed structure consistent with the chromosomes aligned during mitosis, likely in the late prophase or prometaphase stage."
raw,hard_negative,ann_128.png,"Yes. The cell at the center exhibits condensed, dark-staining chromatin characteristic of the chromosomal arrangement seen during the mitotic phase of the cell cycle.",yes.,"The cell at the center exhibits condensed, dark-staining chromatin characteristic of the chromosomal arrangement seen during the mitotic phase of the cell cycle."
raw,hard_negative,ann_129.png,"Yes. The central cell displays condensed, dark-staining chromatin characteristic of a mitotic figure rather than a normal interphase nucleus.",yes.,"The central cell displays condensed, dark-staining chromatin characteristic of a mitotic figure rather than a normal interphase nucleus."
raw,hard_negative,ann_132.png,No. The cell at the center shows a prominent nucleolus and preserved chromatin structure without the characteristic chromosome condensation or spindle formation indicative of a mitotic figure.,no.,The cell at the center shows a prominent nucleolus and preserved chromatin structure without the characteristic chromosome condensation or spindle formation indicative of a mitotic figure.
raw,hard_negative,ann_136.png,"Yes. The cell at the center displays characteristic chromosomal condensation and alignment typical of a mitotic figure, specifically appearing to be in the metaphase or anaphase stage.",yes.,"The cell at the center displays characteristic chromosomal condensation and alignment typical of a mitotic figure, specifically appearing to be in the metaphase or anaphase stage."
raw,hard_negative,ann_137.png,"Yes. The cell at the center exhibits hyperchromatic, clumped chromatin characteristic of the condensation phase of mitosis, lacking a clear nuclear membrane.",yes.,"The cell at the center exhibits hyperchromatic, clumped chromatin characteristic of the condensation phase of mitosis, lacking a clear nuclear membrane."
raw,hard_negative,ann_138.png,"Yes. The cell at the center exhibits condensed, dark chromatin characteristic of the chromatin clumping and chromosomal organization seen in the mitotic phase of the cell cycle.",yes.,"The cell at the center exhibits condensed, dark chromatin characteristic of the chromatin clumping and chromosomal organization seen in the mitotic phase of the cell cycle."
raw,hard_negative,ann_142.png,"No. The cell at the center of the image shows a prominent nucleolus and is likely an interphase cell, as it lacks the condensed chromatin or organized chromosomes characteristic of mitotic figures.",no.,"The cell at the center of the image shows a prominent nucleolus and is likely an interphase cell, as it lacks the condensed chromatin or organized chromosomes characteristic of mitotic figures."
raw,hard_negative,ann_143.png,"Yes. The cell at the center exhibits hyperchromatic, condensed chromatin (chromosomes) lacking a distinct nuclear membrane, which is characteristic of the metaphase stage of mitosis.",yes.,"The cell at the center exhibits hyperchromatic, condensed chromatin (chromosomes) lacking a distinct nuclear membrane, which is characteristic of the metaphase stage of mitosis."
raw,hard_negative,ann_145.png,"Yes. The cell at the center of the image displays a condensed, dark-staining chromatin mass characteristic of a mitotic figure (likely metaphase) rather than a normal interphase nucleus.",yes.,"The cell at the center of the image displays a condensed, dark-staining chromatin mass characteristic of a mitotic figure (likely metaphase) rather than a normal interphase nucleus."
raw,hard_negative,ann_146.png,"Yes. The centrally located cell exhibits condensed, dark, chromatin-rich material (chromosomes) that is not contained within a distinct nuclear membrane, which is characteristic of a mitotic figure in a dividing cell.",yes.,"The centrally located cell exhibits condensed, dark, chromatin-rich material (chromosomes) that is not contained within a distinct nuclear membrane, which is characteristic of a mitotic figure in a dividing cell."
raw,hard_negative,ann_148.png,"Yes. The cell at the center exhibits a dark, condensed mass of chromatin characteristic of a mitotic figure (likely in prophase or metaphase) rather than the vesicular, open chromatin pattern seen in the surrounding interphase nuclei.",yes.,"The cell at the center exhibits a dark, condensed mass of chromatin characteristic of a mitotic figure (likely in prophase or metaphase) rather than the vesicular, open chromatin pattern seen in the surrounding interphase nuclei."
raw,hard_negative,ann_149.png,"Yes. The cell at the center exhibits a dark, condensed, and irregularly shaped mass of chromatin characteristic of the metaphase or anaphase stage of mitosis.",yes.,"The cell at the center exhibits a dark, condensed, and irregularly shaped mass of chromatin characteristic of the metaphase or anaphase stage of mitosis."
raw,hard_negative,ann_15.png,"Yes. The cell at the center displays characteristic condensed, dark-staining chromosomes (chromatin) that are not contained within a distinct nuclear membrane, which is a hallmark morphological feature of a cell in mitosis.",yes.,"The cell at the center displays characteristic condensed, dark-staining chromosomes (chromatin) that are not contained within a distinct nuclear membrane, which is a hallmark morphological feature of a cell in mitosis."
raw,hard_negative,ann_150.png,"Yes. The cell at the center exhibits chromatin condensation into distinct, dark, disorganized chromosome structures, which is characteristic of a cell undergoing mitosis.",yes.,"The cell at the center exhibits chromatin condensation into distinct, dark, disorganized chromosome structures, which is characteristic of a cell undergoing mitosis."
raw,hard_negative,ann_151.png,"Yes. The cell at the center exhibits condensed, dark chromatin characteristic of a mitotic figure, specifically appearing to be in the prophase or prometaphase stage.",yes.,"The cell at the center exhibits condensed, dark chromatin characteristic of a mitotic figure, specifically appearing to be in the prophase or prometaphase stage."
raw,hard_negative,ann_152.png,"Yes. The cell at the center exhibits a condensed, dark-staining, ""c-shaped"" chromosomal configuration typical of a mitotic figure, likely in late prophase or early metaphase.",yes.,"The cell at the center exhibits a condensed, dark-staining, ""c-shaped"" chromosomal configuration typical of a mitotic figure, likely in late prophase or early metaphase."
raw,hard_negative,ann_153.png,"Yes. The cell at the center displays the characteristic dark, condensed, and angular appearance of chromatin associated with the metaphase stage of mitosis.",yes.,"The cell at the center displays the characteristic dark, condensed, and angular appearance of chromatin associated with the metaphase stage of mitosis."
raw,hard_negative,ann_157.png,"Yes. The cell at the center exhibits hyperchromatic, clumped chromatin and a lack of a clear nuclear envelope, which are characteristic features of a cell undergoing mitotic division.",yes.,"The cell at the center exhibits hyperchromatic, clumped chromatin and a lack of a clear nuclear envelope, which are characteristic features of a cell undergoing mitotic division."
raw,hard_negative,ann_158.png,"Yes. The central cell displays condensed, dark-staining chromatin characteristic of chromosomes arranged during the mitotic process, distinct from the surrounding interphase nuclei.",yes.,"The central cell displays condensed, dark-staining chromatin characteristic of chromosomes arranged during the mitotic process, distinct from the surrounding interphase nuclei."
raw,hard_negative,ann_159.png,"Yes. The cell at the center exhibits condensed, deeply basophilic chromatin organized into a distinct structure consistent with a mitotic figure, specifically appearing to be in metaphase.",yes.,"The cell at the center exhibits condensed, deeply basophilic chromatin organized into a distinct structure consistent with a mitotic figure, specifically appearing to be in metaphase."
raw,hard_negative,ann_16.png,"No. The cell at the center displays a distinct nuclear membrane and a clear nucleolus, which are characteristic of a nucleus in interphase rather than the condensed chromatin and absent nuclear membrane typical of mitotic figures.",no.,"The cell at the center displays a distinct nuclear membrane and a clear nucleolus, which are characteristic of a nucleus in interphase rather than the condensed chromatin and absent nuclear membrane typical of mitotic figures."
raw,hard_negative,ann_160.png,"Yes. The central cell displays dense, dark, basophilic chromatin typical of condensed chromosomes, which is characteristic of the mitotic phase.",yes.,"The central cell displays dense, dark, basophilic chromatin typical of condensed chromosomes, which is characteristic of the mitotic phase."
raw,hard_negative,ann_161.png,"Yes. The dark, condensed, and irregularly shaped structure at the center is characteristic of chromatin in a mitotic figure (likely prophase or metaphase) rather than a normal interphase nucleus.",yes.,"The dark, condensed, and irregularly shaped structure at the center is characteristic of chromatin in a mitotic figure (likely prophase or metaphase) rather than a normal interphase nucleus."
raw,hard_negative,ann_163.png,"Yes. The central cell exhibits a condensed, dark-staining, irregular chromatin structure typical of a mitotic figure, lacking a clearly defined nuclear membrane.",yes.,"The central cell exhibits a condensed, dark-staining, irregular chromatin structure typical of a mitotic figure, lacking a clearly defined nuclear membrane."
raw,hard_negative,ann_164.png,"Yes. The cell at the center exhibits condensed, deeply basophilic, and irregular chromatin with an absence of a distinct nuclear membrane, which are characteristic morphological features of a cell undergoing mitosis.",yes.,"The cell at the center exhibits condensed, deeply basophilic, and irregular chromatin with an absence of a distinct nuclear membrane, which are characteristic morphological features of a cell undergoing mitosis."
raw,hard_negative,ann_166.png,"No. The cell at the center shows a distinct, clear cytoplasmic vacuole, which is characteristic of a lipid droplet in an adipocyte, rather than the chromatin condensation and morphological changes required for mitotic division.",no.,"The cell at the center shows a distinct, clear cytoplasmic vacuole, which is characteristic of a lipid droplet in an adipocyte, rather than the chromatin condensation and morphological changes required for mitotic division."
raw,hard_negative,ann_167.png,"Yes. The cell at the center exhibits dense, basophilic chromatin condensation that is characteristic of a mitotic figure rather than a normal interphase nucleus.",yes.,"The cell at the center exhibits dense, basophilic chromatin condensation that is characteristic of a mitotic figure rather than a normal interphase nucleus."
raw,hard_negative,ann_170.png,"Yes. The centrally located, intensely basophilic, and condensed structure is characteristic of a cell in the metaphase stage of mitosis.",yes.,"The centrally located, intensely basophilic, and condensed structure is characteristic of a cell in the metaphase stage of mitosis."
raw,hard_negative,ann_173.png,"Yes. The central cell displays condensed, dark chromatin arranged in a dense, centrally located cluster, which is characteristic of the metaphase stage of mitosis.",yes.,"The central cell displays condensed, dark chromatin arranged in a dense, centrally located cluster, which is characteristic of the metaphase stage of mitosis."
raw,hard_negative,ann_174.png,"Yes. The cell at the center exhibits condensed, dark-staining chromatin characteristic of the chromosomal arrangement seen during mitosis.",yes.,"The cell at the center exhibits condensed, dark-staining chromatin characteristic of the chromosomal arrangement seen during mitosis."
raw,hard_negative,ann_175.png,"Yes. The cell at the center exhibits condensed, dark-staining chromatin (chromosomes) that are not contained within a distinct nuclear membrane, which is characteristic of a mitotic figure.",yes.,"The cell at the center exhibits condensed, dark-staining chromatin (chromosomes) that are not contained within a distinct nuclear membrane, which is characteristic of a mitotic figure."
raw,hard_negative,ann_176.png,"No. The nucleus in the center appears to be in interphase, as it lacks the distinct, condensed, and aligned chromosomal structures characteristic of mitotic figures such as prophase, metaphase, anaphase, or telophase.",no.,"The nucleus in the center appears to be in interphase, as it lacks the distinct, condensed, and aligned chromosomal structures characteristic of mitotic figures such as prophase, metaphase, anaphase, or telophase."
raw,hard_negative,ann_177.png,"Yes. The cell at the center exhibits condensed, dark chromatin characteristic of a mitotic figure, specifically appearing to be in an early stage of division such as prophase or prometaphase.",yes.,"The cell at the center exhibits condensed, dark chromatin characteristic of a mitotic figure, specifically appearing to be in an early stage of division such as prophase or prometaphase."
raw,hard_negative,ann_178.png,"No. The cell at the center shows a clearly defined, intact nuclear membrane with a prominent nucleolus, which is characteristic of an interphase nucleus rather than the condensed chromatin and lack of a nuclear envelope seen during mitosis.",no.,"The cell at the center shows a clearly defined, intact nuclear membrane with a prominent nucleolus, which is characteristic of an interphase nucleus rather than the condensed chromatin and lack of a nuclear envelope seen during mitosis."
raw,hard_negative,ann_179.png,"Yes. The cell at the center exhibits hyperchromatic, condensed chromatin (chromosomes) lacking a distinct nuclear membrane, which is characteristic of the metaphase or anaphase stage of mitosis.",yes.,"The cell at the center exhibits hyperchromatic, condensed chromatin (chromosomes) lacking a distinct nuclear membrane, which is characteristic of the metaphase or anaphase stage of mitosis."
raw,hard_negative,ann_180.png,"No. The cell near the center exhibits a distinct nuclear membrane and a clear nucleolus, indicating it is in interphase rather than undergoing the chromatin condensation and nuclear envelope breakdown characteristic of mitosis.",no.,"The cell near the center exhibits a distinct nuclear membrane and a clear nucleolus, indicating it is in interphase rather than undergoing the chromatin condensation and nuclear envelope breakdown characteristic of mitosis."
raw,hard_negative,ann_181.png,"Yes. The cell at the center exhibits a dark, condensed, and irregular chromatin mass characteristic of the chromosomal arrangement seen in mitotic figures.",yes.,"The cell at the center exhibits a dark, condensed, and irregular chromatin mass characteristic of the chromosomal arrangement seen in mitotic figures."
raw,hard_negative,ann_182.png,"Yes. The cell at the center exhibits a dense, basophilic, rounded mass of chromatin (chromosomal material) that lacks a clear nuclear membrane, which is characteristic of a cell in the mitotic phase.",yes.,"The cell at the center exhibits a dense, basophilic, rounded mass of chromatin (chromosomal material) that lacks a clear nuclear membrane, which is characteristic of a cell in the mitotic phase."
raw,hard_negative,ann_183.png,"No. The cell at the center of the image displays a prominent, intact nuclear membrane and clearly defined nucleoli, which is characteristic of an interphase cell rather than one undergoing mitosis (where chromosomes would be condensed and the nuclear envelope broken down).",no.,"The cell at the center of the image displays a prominent, intact nuclear membrane and clearly defined nucleoli, which is characteristic of an interphase cell rather than one undergoing mitosis (where chromosomes would be condensed and the nuclear envelope broken down)."
raw,hard_negative,ann_184.png,"Yes. The central cell exhibits a condensed, darkly basophilic, and amorphous chromatin structure that lacks a distinct nuclear envelope, which is characteristic of a cell in the mitotic phase.",yes.,"The central cell exhibits a condensed, darkly basophilic, and amorphous chromatin structure that lacks a distinct nuclear envelope, which is characteristic of a cell in the mitotic phase."
raw,hard_negative,ann_185.png,"Yes. The cell at the center of the image displays condensed, darkly staining chromatin arranged in a dense, shapeless mass characteristic of the mitotic phase.",yes.,"The cell at the center of the image displays condensed, darkly staining chromatin arranged in a dense, shapeless mass characteristic of the mitotic phase."
raw,hard_negative,ann_186.png,"Yes. The cell at the center exhibits condensed, dark-staining chromatin characteristic of the chromosomal segregation phase of mitosis.",yes.,"The cell at the center exhibits condensed, dark-staining chromatin characteristic of the chromosomal segregation phase of mitosis."
raw,hard_negative,ann_187.png,"Yes. The cell at the center exhibits a dark, condensed, and shrunken nucleus (pyknosis) that is characteristic of the late stages of mitotic division or early apoptosis, which are often encountered in high-grade malignancies.",yes.,"The cell at the center exhibits a dark, condensed, and shrunken nucleus (pyknosis) that is characteristic of the late stages of mitotic division or early apoptosis, which are often encountered in high-grade malignancies."
raw,hard_negative,ann_188.png,"No. The cell at the center shows a condensed, irregular nucleus without the distinct chromosomal alignment or separation characteristic of a mitotic figure.",no.,"The cell at the center shows a condensed, irregular nucleus without the distinct chromosomal alignment or separation characteristic of a mitotic figure."
raw,hard_negative,ann_189.png,"No. The central cell contains a clearly defined, intact nuclear envelope and visible chromatin, which are characteristics of a resting interphase nucleus rather than the condensed, organized chromosomes seen in mitotic figures.",no.,"The central cell contains a clearly defined, intact nuclear envelope and visible chromatin, which are characteristics of a resting interphase nucleus rather than the condensed, organized chromosomes seen in mitotic figures."
raw,hard_negative,ann_19.png,"Yes. The central cell displays condensed, dark-staining chromosomes arranged in a manner characteristic of the metaphase stage of mitosis.",yes.,"The central cell displays condensed, dark-staining chromosomes arranged in a manner characteristic of the metaphase stage of mitosis."
raw,hard_negative,ann_190.png,"No. The cells in the center cluster exhibit prominent, distinct nuclei with clearly visible nucleoli and intact nuclear membranes, which are characteristic of interphase cells rather than the chromatin condensation and nuclear membrane breakdown seen in mitosis.",no.,"The cells in the center cluster exhibit prominent, distinct nuclei with clearly visible nucleoli and intact nuclear membranes, which are characteristic of interphase cells rather than the chromatin condensation and nuclear membrane breakdown seen in mitosis."
raw,hard_negative,ann_191.png,"Yes. The cell at the center exhibits dense, basophilic, homogeneous chromatin condensation characteristic of a mitotic figure, specifically at the metaphase or late prophase stage, lacking a discernible nuclear membrane or nucleoli.",yes.,"The cell at the center exhibits dense, basophilic, homogeneous chromatin condensation characteristic of a mitotic figure, specifically at the metaphase or late prophase stage, lacking a discernible nuclear membrane or nucleoli."
raw,hard_negative,ann_192.png,"Yes. The cell at the center exhibits condensed, deeply basophilic chromosomes arranged in a disorganized cluster, which is characteristic of the late prophase or prometaphase stage of mitosis.",yes.,"The cell at the center exhibits condensed, deeply basophilic chromosomes arranged in a disorganized cluster, which is characteristic of the late prophase or prometaphase stage of mitosis."
raw,hard_negative,ann_195.png,"Yes. The cell at the center shows two distinct, condensed, dark-staining chromatin masses characteristic of the equatorial alignment of chromosomes during the metaphase stage of mitosis.",yes.,"The cell at the center shows two distinct, condensed, dark-staining chromatin masses characteristic of the equatorial alignment of chromosomes during the metaphase stage of mitosis."
raw,hard_negative,ann_197.png,"No, the cell at the center of the image displays a prominent, distinct nucleolus within a regular nuclear envelope, which is characteristic of a typical interphase nucleus rather than the condensed chromatin and obscured nuclear membrane seen during mitosis.","no,","the cell at the center of the image displays a prominent, distinct nucleolus within a regular nuclear envelope, which is characteristic of a typical interphase nucleus rather than the condensed chromatin and obscured nuclear membrane seen during mitosis."
raw,hard_negative,ann_198.png,"Yes. The cell at the center exhibits condensed, dark, chromatin characteristic of a mitotic figure, appearing as a dense, basophilic structure without a distinct nuclear envelope.",yes.,"The cell at the center exhibits condensed, dark, chromatin characteristic of a mitotic figure, appearing as a dense, basophilic structure without a distinct nuclear envelope."
raw,hard_negative,ann_199.png,"Yes. The cell at the center displays the characteristic features of a mitotic figure, including condensed, dark-staining chromatin and the loss of a distinct nuclear membrane, consistent with a dividing cell.",yes.,"The cell at the center displays the characteristic features of a mitotic figure, including condensed, dark-staining chromatin and the loss of a distinct nuclear membrane, consistent with a dividing cell."
raw,hard_negative,ann_2.png,"Yes. The cell at the center displays the characteristic dark, condensed, and disorganized chromatin distribution typical of a mitotic figure, specifically appearing to be in anaphase or telophase.",yes.,"The cell at the center displays the characteristic dark, condensed, and disorganized chromatin distribution typical of a mitotic figure, specifically appearing to be in anaphase or telophase."
raw,hard_negative,ann_203.png,"Yes. The cell at the center exhibits a dark, elongated, and hyperchromatic structure characteristic of condensed chromatin during the metaphase or anaphase stage of mitosis.",yes.,"The cell at the center exhibits a dark, elongated, and hyperchromatic structure characteristic of condensed chromatin during the metaphase or anaphase stage of mitosis."
raw,hard_negative,ann_205.png,"Yes. The cell at the center shows a condensed, dark-staining, rounded chromatin mass characteristic of the metaphase stage of mitosis.",yes.,"The cell at the center shows a condensed, dark-staining, rounded chromatin mass characteristic of the metaphase stage of mitosis."
raw,hard_negative,ann_207.png,"Yes. The central cell displays a dark, condensed, spindle-shaped chromatin structure characteristic of a mitotic figure (likely in metaphase or anaphase) rather than an interphase nucleus.",yes.,"The central cell displays a dark, condensed, spindle-shaped chromatin structure characteristic of a mitotic figure (likely in metaphase or anaphase) rather than an interphase nucleus."
raw,hard_negative,ann_208.png,"Yes. The cell at the center exhibits condensed, darkly stained, disorganized chromatin consistent with a mitotic figure.",yes.,"The cell at the center exhibits condensed, darkly stained, disorganized chromatin consistent with a mitotic figure."
raw,hard_negative,ann_209.png,"Yes. The cell at the center exhibits condensed, dark-staining chromatin characteristic of a mitotic figure rather than the normal vesicular nucleus seen in surrounding interphase cells.",yes.,"The cell at the center exhibits condensed, dark-staining chromatin characteristic of a mitotic figure rather than the normal vesicular nucleus seen in surrounding interphase cells."
raw,hard_negative,ann_21.png,"Yes. The cell at the center of the image displays a condensed, dark purple chromatin structure that lacks a distinct nuclear membrane, which is characteristic of the prophase or metaphase stage of mitosis.",yes.,"The cell at the center of the image displays a condensed, dark purple chromatin structure that lacks a distinct nuclear membrane, which is characteristic of the prophase or metaphase stage of mitosis."
raw,hard_negative,ann_210.png,"Yes. The cell at the center shows a condensed, dark-staining chromatin mass typical of a mitotic figure, specifically appearing to be in metaphase.",yes.,"The cell at the center shows a condensed, dark-staining chromatin mass typical of a mitotic figure, specifically appearing to be in metaphase."
raw,hard_negative,ann_214.png,"Yes. The cell at the center of the image displays a condensed, dark-staining, elongated chromatin structure characteristic of the mitotic phase, specifically resembling a mitotic figure such as a metaphase or anaphase stage.",yes.,"The cell at the center of the image displays a condensed, dark-staining, elongated chromatin structure characteristic of the mitotic phase, specifically resembling a mitotic figure such as a metaphase or anaphase stage."
raw,hard_negative,ann_217.png,"Yes. The cell at the center exhibits condensed, dark chromatin structures arranged in a configuration characteristic of the metaphase stage of mitosis.",yes.,"The cell at the center exhibits condensed, dark chromatin structures arranged in a configuration characteristic of the metaphase stage of mitosis."
raw,hard_negative,ann_219.png,"Yes. The cell at the center exhibits condensed, dark-staining chromatin characteristic of the chromosomal alignment seen during the metaphase stage of mitosis.",yes.,"The cell at the center exhibits condensed, dark-staining chromatin characteristic of the chromosomal alignment seen during the metaphase stage of mitosis."
raw,hard_negative,ann_220.png,"Yes. The cell at the center exhibits hyperchromatic, clumped chromatin characteristic of the condensation phase of mitosis, lacking a clear nuclear membrane.",yes.,"The cell at the center exhibits hyperchromatic, clumped chromatin characteristic of the condensation phase of mitosis, lacking a clear nuclear membrane."
raw,hard_negative,ann_221.png,"No. The cell at the center has a distinct, granular, and relatively intact-looking nucleus, which lacks the condensed, darkly stained chromatin characteristic of the stages of mitosis (such as prophase or metaphase).",no.,"The cell at the center has a distinct, granular, and relatively intact-looking nucleus, which lacks the condensed, darkly stained chromatin characteristic of the stages of mitosis (such as prophase or metaphase)."
raw,hard_negative,ann_222.png,"Yes. The cell at the center exhibits condensed, darkly stained chromatin that is arranged in a linear, plate-like configuration characteristic of the metaphase stage of mitosis.",yes.,"The cell at the center exhibits condensed, darkly stained chromatin that is arranged in a linear, plate-like configuration characteristic of the metaphase stage of mitosis."
raw,hard_negative,ann_226.png,"Yes. The cell exhibits characteristic features of mitosis, specifically the absence of a distinct nuclear membrane and the condensation of chromatin into a centralized, deeply basophilic mass typical of the metaphase stage.",yes.,"The cell exhibits characteristic features of mitosis, specifically the absence of a distinct nuclear membrane and the condensation of chromatin into a centralized, deeply basophilic mass typical of the metaphase stage."
raw,hard_negative,ann_227.png,"Yes. The cell at the center of the image displays condensed, dark-staining, rod-like structures that are characteristic of chromosomes during the mitotic phase.",yes.,"The cell at the center of the image displays condensed, dark-staining, rod-like structures that are characteristic of chromosomes during the mitotic phase."
raw,hard_negative,ann_228.png,"Yes. The cell at the center of the image displays a condensed, dark-staining, rod-like configuration of chromatin, which is characteristic of a mitotic figure (specifically in metaphase or anaphase) rather than an interphase nucleus.",yes.,"The cell at the center of the image displays a condensed, dark-staining, rod-like configuration of chromatin, which is characteristic of a mitotic figure (specifically in metaphase or anaphase) rather than an interphase nucleus."
raw,hard_negative,ann_229.png,"Yes. The cell at the center exhibits hyperchromatic, clumped chromatin organized into a dense structure, which is characteristic of the mitotic phase in a malignant cell.",yes.,"The cell at the center exhibits hyperchromatic, clumped chromatin organized into a dense structure, which is characteristic of the mitotic phase in a malignant cell."
raw,hard_negative,ann_23.png,"No. The cell at the center of the image contains a clearly defined, intact nuclear membrane surrounding its chromatin, which is inconsistent with the breakdown of the nuclear envelope required for mitosis.",no.,"The cell at the center of the image contains a clearly defined, intact nuclear membrane surrounding its chromatin, which is inconsistent with the breakdown of the nuclear envelope required for mitosis."
raw,hard_negative,ann_230.png,"No. The cell at the center of the image contains a clearly defined, intact nuclear membrane and visible nucleoli, indicating it is in interphase rather than mitosis.",no.,"The cell at the center of the image contains a clearly defined, intact nuclear membrane and visible nucleoli, indicating it is in interphase rather than mitosis."
raw,hard_negative,ann_231.png,"Yes. The centrally located cell exhibits dense, darkly stained chromatin that is condensed into chromosomes, characteristic of the mitotic phase in an H&E stained tissue section.",yes.,"The centrally located cell exhibits dense, darkly stained chromatin that is condensed into chromosomes, characteristic of the mitotic phase in an H&E stained tissue section."
