ann_id,image_id,filename,label,category_id,crop_position,cell_x_in_crop,cell_y_in_crop,condition,ground_truth,prediction,confidence,response,explanation
5,2,002.tiff,hard_negative,2,1,192,64,raw,0,1,95,"Yes, 95% confidence. The cell exhibits clear, dense, and irregularly arranged chromosomal structures with the characteristic ""star-burst"" or complex morphology typical of a mitotic figure, lacking an intact nuclear membrane.","The cell exhibits clear, dense, and irregularly arranged chromosomal structures with the characteristic ""star-burst"" or complex morphology typical of a mitotic figure, lacking an intact nuclear membrane."
5,2,002.tiff,hard_negative,2,1,192,64,bbox,0,1,90,"Yes, 90% confidence. The cell exhibits clear chromosomal condensation with a characteristic disorganized, angular shape and an absence of an intact nuclear membrane, which are hallmarks of a mitotic figure in metaphase or anaphase.","The cell exhibits clear chromosomal condensation with a characteristic disorganized, angular shape and an absence of an intact nuclear membrane, which are hallmarks of a mitotic figure in metaphase or anaphase."
5,2,002.tiff,hard_negative,2,1,192,64,mask,0,1,90,"Yes, 90% confidence. The highlighted region clearly displays condensed, irregular chromosomal material characteristic of the metaphase or early anaphase stage of mitosis, with no visible nuclear membrane.","The highlighted region clearly displays condensed, irregular chromosomal material characteristic of the metaphase or early anaphase stage of mitosis, with no visible nuclear membrane."
6,2,002.tiff,mitotic,1,1,192,64,raw,1,1,95,"Yes, 95% confidence. The cell in the upper-right quadrant exhibits condensed, dark chromosomal material arranged in a non-spherical, irregular pattern with no visible nuclear membrane, which is characteristic of a mitotic figure in the process of cell division.","The cell in the upper-right quadrant exhibits condensed, dark chromosomal material arranged in a non-spherical, irregular pattern with no visible nuclear membrane, which is characteristic of a mitotic figure in the process of cell division."
6,2,002.tiff,mitotic,1,1,192,64,bbox,1,1,95,"Yes, 95% confidence. The cell exhibits clear, condensed chromosomal material with a disorganized, irregular structure lacking an intact nuclear membrane, which is characteristic of a mitotic figure in the metaphase or anaphase stage.","The cell exhibits clear, condensed chromosomal material with a disorganized, irregular structure lacking an intact nuclear membrane, which is characteristic of a mitotic figure in the metaphase or anaphase stage."
6,2,002.tiff,mitotic,1,1,192,64,mask,1,0,95,"No, 95% confidence. The highlighted nucleus is highly condensed and pyknotic, consistent with an apoptotic cell rather than the organized chromosomal structures required to identify active mitosis.","The highlighted nucleus is highly condensed and pyknotic, consistent with an apoptotic cell rather than the organized chromosomal structures required to identify active mitosis."
7,2,002.tiff,mitotic,1,0,64,64,raw,1,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed, dark, star-shaped chromosomal material with no visible nuclear membrane, which is characteristic of the mitotic phase of cell division.","The cell clearly exhibits condensed, dark, star-shaped chromosomal material with no visible nuclear membrane, which is characteristic of the mitotic phase of cell division."
7,2,002.tiff,mitotic,1,0,64,64,bbox,1,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed chromosomes organized in a star-shaped configuration with no visible nuclear membrane, which are hallmark features of a mitotic figure in metaphase.","The cell clearly exhibits condensed chromosomes organized in a star-shaped configuration with no visible nuclear membrane, which are hallmark features of a mitotic figure in metaphase."
7,2,002.tiff,mitotic,1,0,64,64,mask,1,1,95,"Yes, 95% confidence. The highlighted region displays clearly condensed, irregular, dark chromosomal material arranged in a pattern characteristic of a cell undergoing mitosis, with no visible nuclear membrane.","The highlighted region displays clearly condensed, irregular, dark chromosomal material arranged in a pattern characteristic of a cell undergoing mitosis, with no visible nuclear membrane."
8,2,002.tiff,hard_negative,2,0,64,64,raw,0,0,95,"No, 95% confidence. The cell in the upper-left quadrant displays a dark, pyknotic, and rounded appearance consistent with apoptosis, rather than the defined chromosome arm configurations characteristic of active mitosis.","The cell in the upper-left quadrant displays a dark, pyknotic, and rounded appearance consistent with apoptosis, rather than the defined chromosome arm configurations characteristic of active mitosis."
8,2,002.tiff,hard_negative,2,0,64,64,bbox,0,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed, irregular, and scattered chromosomal material without a discernible nuclear membrane, which is diagnostic of a mitotic figure.","The cell clearly exhibits condensed, irregular, and scattered chromosomal material without a discernible nuclear membrane, which is diagnostic of a mitotic figure."
8,2,002.tiff,hard_negative,2,0,64,64,mask,0,0,95,"No, 95% confidence. The nucleus in the highlighted region appears as a hyperchromatic, dense, and relatively rounded structure with an intact border, consistent with a pyknotic or hyperchromatic nucleus rather than a cell exhibiting the defined, complex chromosomal configurations required for a mitotic figure.","The nucleus in the highlighted region appears as a hyperchromatic, dense, and relatively rounded structure with an intact border, consistent with a pyknotic or hyperchromatic nucleus rather than a cell exhibiting the defined, complex chromosomal configurations required for a mitotic figure."
9,2,002.tiff,mitotic,1,3,192,192,raw,1,1,90,"Yes, 90% confidence. The cell in the lower-right quadrant exhibits characteristically dark, clumped, and disorganized chromatin that has condensed into distinct chromosome-like structures, which is pathognomonic for a mitotic figure.","The cell in the lower-right quadrant exhibits characteristically dark, clumped, and disorganized chromatin that has condensed into distinct chromosome-like structures, which is pathognomonic for a mitotic figure."
9,2,002.tiff,mitotic,1,3,192,192,bbox,1,1,95,"Yes, 95% confidence. The cell shows highly condensed, irregular, and dark chromosomal material characteristic of the metaphase stage of mitosis, with no visible nuclear membrane.","The cell shows highly condensed, irregular, and dark chromosomal material characteristic of the metaphase stage of mitosis, with no visible nuclear membrane."
9,2,002.tiff,mitotic,1,3,192,192,mask,1,1,90,"Yes, 90% confidence. The highlighted nucleus clearly exhibits condensed, irregular chromosomal material arranged in a distinct pattern lacking a visible nuclear membrane, which is characteristic of a cell in mitosis.","The highlighted nucleus clearly exhibits condensed, irregular chromosomal material arranged in a distinct pattern lacking a visible nuclear membrane, which is characteristic of a cell in mitosis."
10,2,002.tiff,mitotic,1,0,64,64,raw,1,1,95,"Yes, 95% confidence. The cell in the upper-left quadrant displays clear, condensed chromosomal arms and a disorganized arrangement characteristic of a mitotic figure, with no visible nuclear membrane.","The cell in the upper-left quadrant displays clear, condensed chromosomal arms and a disorganized arrangement characteristic of a mitotic figure, with no visible nuclear membrane."
10,2,002.tiff,mitotic,1,0,64,64,bbox,1,1,95,"Yes, 95% confidence. The cell clearly displays condensed, irregular chromosomal material with distinct, angular shapes and the absence of a visible nuclear membrane, which are characteristic features of active mitosis.","The cell clearly displays condensed, irregular chromosomal material with distinct, angular shapes and the absence of a visible nuclear membrane, which are characteristic features of active mitosis."
10,2,002.tiff,mitotic,1,0,64,64,mask,1,1,95,"Yes, 95% confidence. The cell shows clear, highly condensed, and irregular chromosomal material with no intact nuclear membrane, which is characteristic of the prophase or prometaphase stage of mitosis.","The cell shows clear, highly condensed, and irregular chromosomal material with no intact nuclear membrane, which is characteristic of the prophase or prometaphase stage of mitosis."
11,2,002.tiff,hard_negative,2,0,111,64,raw,0,1,90,"Yes, 90% confidence. The cell exhibits clearly condensed, elongated, and irregular chromosomal material lacking a nuclear envelope, which is characteristic of a mitotic figure (likely in metaphase or early anaphase).","The cell exhibits clearly condensed, elongated, and irregular chromosomal material lacking a nuclear envelope, which is characteristic of a mitotic figure (likely in metaphase or early anaphase)."
11,2,002.tiff,hard_negative,2,0,111,64,bbox,0,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed, irregular chromosomal material arranged in a pattern characteristic of an active mitotic figure, with no visible nuclear membrane.","The cell clearly exhibits condensed, irregular chromosomal material arranged in a pattern characteristic of an active mitotic figure, with no visible nuclear membrane."
11,2,002.tiff,hard_negative,2,0,111,64,mask,0,1,90,"Yes, 90% confidence. The cell exhibits clear chromosomal condensation and a disorganized, irregular arrangement characteristic of the mitotic process, with no visible nuclear membrane.","The cell exhibits clear chromosomal condensation and a disorganized, irregular arrangement characteristic of the mitotic process, with no visible nuclear membrane."
12,2,002.tiff,hard_negative,2,0,64,64,raw,0,0,95,"No, 95% confidence. The cell in the upper-left corner exhibits a darkly stained, condensed, and relatively round nucleus with an intact nuclear boundary, which is consistent with a hyperchromatic nucleus rather than the distinct, chaotic chromosome arrangements characteristic of mitosis.","The cell in the upper-left corner exhibits a darkly stained, condensed, and relatively round nucleus with an intact nuclear boundary, which is consistent with a hyperchromatic nucleus rather than the distinct, chaotic chromosome arrangements characteristic of mitosis."
12,2,002.tiff,hard_negative,2,0,64,64,bbox,0,0,90,"No, 90% confidence. The cell exhibits a dark, round, and relatively smooth nuclear appearance consistent with pyknosis or a hyperchromatic nucleus rather than the distinct, disorganized chromosomal structures characteristic of active mitosis.","The cell exhibits a dark, round, and relatively smooth nuclear appearance consistent with pyknosis or a hyperchromatic nucleus rather than the distinct, disorganized chromosomal structures characteristic of active mitosis."
12,2,002.tiff,hard_negative,2,0,64,64,mask,0,0,95,"No, 95% confidence. The nucleus is smooth, round, and maintains an intact nuclear membrane, which is characteristic of a resting or hyperchromatic interphase cell rather than a cell undergoing mitosis.","The nucleus is smooth, round, and maintains an intact nuclear membrane, which is characteristic of a resting or hyperchromatic interphase cell rather than a cell undergoing mitosis."
13,2,002.tiff,mitotic,1,1,192,64,raw,1,1,95,"Yes, 95% confidence. The cell in the upper-right quadrant exhibits clear, condensed chromosomal material arranged in a distinct, dark, and disorganized configuration, characteristic of a mitotic figure where the nuclear membrane has dissolved.","The cell in the upper-right quadrant exhibits clear, condensed chromosomal material arranged in a distinct, dark, and disorganized configuration, characteristic of a mitotic figure where the nuclear membrane has dissolved."
13,2,002.tiff,mitotic,1,1,192,64,bbox,1,1,95,"Yes, 95% confidence. The cell clearly displays condensed, dark chromosomal material arranged in a pattern characteristic of metaphase, with no intact nuclear membrane visible.","The cell clearly displays condensed, dark chromosomal material arranged in a pattern characteristic of metaphase, with no intact nuclear membrane visible."
13,2,002.tiff,mitotic,1,1,192,64,mask,1,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed, irregular chromosomal material arranged in a star-shaped pattern with no visible nuclear membrane, which is diagnostic of a mitotic figure.","The cell clearly exhibits condensed, irregular chromosomal material arranged in a star-shaped pattern with no visible nuclear membrane, which is diagnostic of a mitotic figure."
14,2,002.tiff,mitotic,1,1,192,64,raw,1,1,90,"Yes, 90% confidence. The cell exhibits condensed, irregular chromosomal material with clear star-like structuring, lacking an intact nuclear membrane, which is characteristic of a mitotic figure in the late prophase or prometaphase stage.","The cell exhibits condensed, irregular chromosomal material with clear star-like structuring, lacking an intact nuclear membrane, which is characteristic of a mitotic figure in the late prophase or prometaphase stage."
14,2,002.tiff,mitotic,1,1,192,64,bbox,1,1,95,"Yes, 95% confidence. The cell shows clear, irregular, and condensed chromosomal material with no visible nuclear membrane, which is characteristic of a mitotic figure in the metaphase or anaphase stage.","The cell shows clear, irregular, and condensed chromosomal material with no visible nuclear membrane, which is characteristic of a mitotic figure in the metaphase or anaphase stage."
14,2,002.tiff,mitotic,1,1,192,64,mask,1,0,95,"No, 95% confidence. The cell exhibits a dark, condensed, and relatively uniform nuclear structure without the distinct, organized chromosomal arms or spindle apparatus characteristic of active mitosis.","The cell exhibits a dark, condensed, and relatively uniform nuclear structure without the distinct, organized chromosomal arms or spindle apparatus characteristic of active mitosis."
15,2,002.tiff,hard_negative,2,0,64,82,raw,0,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed, dark chromosomal material with a distinct ""V"" or hourglass-shaped arrangement and a lack of a visible nuclear membrane, which are hallmark features of a cell in mitosis.","The cell clearly exhibits condensed, dark chromosomal material with a distinct ""V"" or hourglass-shaped arrangement and a lack of a visible nuclear membrane, which are hallmark features of a cell in mitosis."
15,2,002.tiff,hard_negative,2,0,64,82,bbox,0,1,95,"Yes, 95% confidence. The cell shows clear, dark, condensed chromosomes arranged in a bilobed or ""clumped"" configuration characteristic of a mitotic figure (likely metaphase or early anaphase), with no visible nuclear membrane.","The cell shows clear, dark, condensed chromosomes arranged in a bilobed or ""clumped"" configuration characteristic of a mitotic figure (likely metaphase or early anaphase), with no visible nuclear membrane."
15,2,002.tiff,hard_negative,2,0,64,82,mask,0,1,95,"Yes, 95% confidence. The cell exhibits clear condensation of chromosomes into a distinct, bipartite arrangement with no visible nuclear membrane, which is characteristic of a mitotic figure in the metaphase or anaphase stage.","The cell exhibits clear condensation of chromosomes into a distinct, bipartite arrangement with no visible nuclear membrane, which is characteristic of a mitotic figure in the metaphase or anaphase stage."
16,2,002.tiff,hard_negative,2,1,192,114,raw,0,1,90,"Yes, 90% confidence. The cell in the upper-right quadrant displays condensed, fragmented-looking chromosomal material characteristic of a mitotic figure, lacking a distinct, intact nuclear membrane.","The cell in the upper-right quadrant displays condensed, fragmented-looking chromosomal material characteristic of a mitotic figure, lacking a distinct, intact nuclear membrane."
16,2,002.tiff,hard_negative,2,1,192,114,bbox,0,0,95,"No, 95% confidence. The cell exhibits a dark, round, and relatively uniform nucleus with a clearly intact nuclear membrane, which is characteristic of a hyperchromatic nucleus rather than the condensed, irregular chromosomal arrangements seen in mitosis.","The cell exhibits a dark, round, and relatively uniform nucleus with a clearly intact nuclear membrane, which is characteristic of a hyperchromatic nucleus rather than the condensed, irregular chromosomal arrangements seen in mitosis."
16,2,002.tiff,hard_negative,2,1,192,114,mask,0,0,95,"No, 95% confidence. The nucleus within the highlighted region appears as a smooth, hyperchromatic, and relatively intact structure without evidence of the distinct condensed chromosome patterns or the absence of a nuclear membrane characteristic of mitosis.","The nucleus within the highlighted region appears as a smooth, hyperchromatic, and relatively intact structure without evidence of the distinct condensed chromosome patterns or the absence of a nuclear membrane characteristic of mitosis."
17,2,002.tiff,mitotic,1,3,192,192,raw,1,1,90,"Yes, 90% confidence. The cell in the lower-right quadrant displays dense, irregular, dark-staining chromatin with a chaotic structure indicative of condensed chromosomes during active mitosis.","The cell in the lower-right quadrant displays dense, irregular, dark-staining chromatin with a chaotic structure indicative of condensed chromosomes during active mitosis."
17,2,002.tiff,mitotic,1,3,192,192,bbox,1,1,95,"Yes, 95% confidence. The cell exhibits clear condensation of chromosomal material with the characteristic irregular, dark, and disorganized structure typical of a mitotic figure, lacking an intact nuclear membrane.","The cell exhibits clear condensation of chromosomal material with the characteristic irregular, dark, and disorganized structure typical of a mitotic figure, lacking an intact nuclear membrane."
17,2,002.tiff,mitotic,1,3,192,192,mask,1,1,95,"Yes, 95% confidence. The highlighted region clearly displays dense, irregular chromosomal material organized into a distinct pattern characteristic of a mitotic figure, with no visible nuclear membrane.","The highlighted region clearly displays dense, irregular chromosomal material organized into a distinct pattern characteristic of a mitotic figure, with no visible nuclear membrane."
18,2,002.tiff,mitotic,1,1,192,64,raw,1,1,95,"Yes, 95% confidence. The cell in the upper-right quadrant exhibits dense, dark, and fragmented chromosomal material with a disorganized structure characteristic of a mitotic figure, lacking an intact nuclear envelope.","The cell in the upper-right quadrant exhibits dense, dark, and fragmented chromosomal material with a disorganized structure characteristic of a mitotic figure, lacking an intact nuclear envelope."
18,2,002.tiff,mitotic,1,1,192,64,bbox,1,1,95,"Yes, 95% confidence. The cell exhibits clear, dense, and irregular chromatin arrangement characteristic of a mitotic figure, with no visible nuclear membrane, consistent with active cell division.","The cell exhibits clear, dense, and irregular chromatin arrangement characteristic of a mitotic figure, with no visible nuclear membrane, consistent with active cell division."
18,2,002.tiff,mitotic,1,1,192,64,mask,1,0,95,"No, 95% confidence. The cell exhibits a dark, pyknotic appearance characteristic of an apoptotic or hyperchromatic nucleus with an intact boundary, rather than the distinct condensed chromosomal structures indicative of active mitosis.","The cell exhibits a dark, pyknotic appearance characteristic of an apoptotic or hyperchromatic nucleus with an intact boundary, rather than the distinct condensed chromosomal structures indicative of active mitosis."
19,2,002.tiff,hard_negative,2,3,192,192,raw,0,1,90,"Yes, 90% confidence. The cell in the lower-right quadrant exhibits clear, condensed chromosomal material organized into distinct, irregular arms, indicating the breakdown of the nuclear envelope typical of a mitotic figure.","The cell in the lower-right quadrant exhibits clear, condensed chromosomal material organized into distinct, irregular arms, indicating the breakdown of the nuclear envelope typical of a mitotic figure."
19,2,002.tiff,hard_negative,2,3,192,192,bbox,0,1,95,"Yes, 95% confidence. The cell exhibits clearly condensed, irregular chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane.","The cell exhibits clearly condensed, irregular chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane."
19,2,002.tiff,hard_negative,2,3,192,192,mask,0,0,95,"No, 95% confidence. The cell exhibits a round, intact nuclear boundary and homogenous chromatin staining consistent with a standard interphase nucleus rather than the distinct, disorganized chromosomal structures characteristic of active mitosis.","The cell exhibits a round, intact nuclear boundary and homogenous chromatin staining consistent with a standard interphase nucleus rather than the distinct, disorganized chromosomal structures characteristic of active mitosis."
20,2,002.tiff,mitotic,1,2,64,192,raw,1,0,95,"No, 95% confidence. The cell in the lower-left area shows a round, hyperchromatic nucleus with a distinct, intact nuclear membrane, which is characteristic of an interphase nucleus rather than the condensed chromosomal configuration of mitosis.","The cell in the lower-left area shows a round, hyperchromatic nucleus with a distinct, intact nuclear membrane, which is characteristic of an interphase nucleus rather than the condensed chromosomal configuration of mitosis."
20,2,002.tiff,mitotic,1,2,64,192,bbox,1,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed, irregular chromosomal material characteristic of a mitotic figure, with no visible nuclear membrane and a chaotic, star-like arrangement of chromatin.","The cell clearly exhibits condensed, irregular chromosomal material characteristic of a mitotic figure, with no visible nuclear membrane and a chaotic, star-like arrangement of chromatin."
20,2,002.tiff,mitotic,1,2,64,192,mask,1,1,95,"Yes, 95% confidence. The cell exhibits clear, condensed, and angular chromosomal material arranged in a V-shape, characteristic of an active mitotic figure.","The cell exhibits clear, condensed, and angular chromosomal material arranged in a V-shape, characteristic of an active mitotic figure."
21,3,003.tiff,hard_negative,2,0,64,64,raw,0,0,95,"No, 95% confidence. The cell in the upper-left area displays a dark, dense, and relatively rounded, shrunken morphology characteristic of an apoptotic body or a hyperchromatic nucleus rather than the organized, distinct chromosomal configuration of a mitotic figure.","The cell in the upper-left area displays a dark, dense, and relatively rounded, shrunken morphology characteristic of an apoptotic body or a hyperchromatic nucleus rather than the organized, distinct chromosomal configuration of a mitotic figure."
21,3,003.tiff,hard_negative,2,0,64,64,bbox,0,1,90,"Yes, 90% confidence. The cell exhibits dark, condensed chromosomal material in an irregular, angular configuration characteristic of active mitosis, with no visible nuclear membrane.","The cell exhibits dark, condensed chromosomal material in an irregular, angular configuration characteristic of active mitosis, with no visible nuclear membrane."
21,3,003.tiff,hard_negative,2,0,64,64,mask,0,0,95,"No, 95% confidence. The highlighted nucleus appears as a dark, condensed, and relatively spherical structure with a persistent border, which is more characteristic of a pyknotic or apoptotic cell rather than the distinct, organized chromosomal patterns of active mitosis.","The highlighted nucleus appears as a dark, condensed, and relatively spherical structure with a persistent border, which is more characteristic of a pyknotic or apoptotic cell rather than the distinct, organized chromosomal patterns of active mitosis."
22,3,003.tiff,mitotic,1,1,192,64,raw,1,1,95,"Yes, 95% confidence. The cell in the upper-right quadrant exhibits clear chromosomal condensation with distinct, irregular shapes indicative of active mitosis, lacking an intact nuclear membrane.","The cell in the upper-right quadrant exhibits clear chromosomal condensation with distinct, irregular shapes indicative of active mitosis, lacking an intact nuclear membrane."
22,3,003.tiff,mitotic,1,1,192,64,bbox,1,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed, irregular chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane.","The cell clearly exhibits condensed, irregular chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane."
22,3,003.tiff,mitotic,1,1,192,64,mask,1,0,95,"No, 95% confidence. The highlighted region shows a dark, shrunken, and amorphous nuclear structure characteristic of an apoptotic cell rather than the distinct, organized chromosomal arms required to identify a mitotic figure.","The highlighted region shows a dark, shrunken, and amorphous nuclear structure characteristic of an apoptotic cell rather than the distinct, organized chromosomal arms required to identify a mitotic figure."
23,3,003.tiff,hard_negative,2,3,192,192,raw,0,0,95,"No, 95% confidence. The cell in the lower-right area displays a hyperchromatic, round-to-oval nucleus with an intact nuclear membrane, which is characteristic of a non-dividing cancer cell rather than the defined, chaotic chromosomal arrangement required for mitosis.","The cell in the lower-right area displays a hyperchromatic, round-to-oval nucleus with an intact nuclear membrane, which is characteristic of a non-dividing cancer cell rather than the defined, chaotic chromosomal arrangement required for mitosis."
23,3,003.tiff,hard_negative,2,3,192,192,bbox,0,1,90,"Yes, 90% confidence. The cell exhibits clear chromosomal condensation and a characteristic elongated, irregular morphology indicative of a mitotic figure in the late prophase or metaphase stage.","The cell exhibits clear chromosomal condensation and a characteristic elongated, irregular morphology indicative of a mitotic figure in the late prophase or metaphase stage."
23,3,003.tiff,hard_negative,2,3,192,192,mask,0,0,95,"No, 95% confidence. The highlighted region displays a dark, shrunken, and condensed morphology typical of an apoptotic cell, rather than the organized, distinct chromosomal arms characteristic of active mitosis.","The highlighted region displays a dark, shrunken, and condensed morphology typical of an apoptotic cell, rather than the organized, distinct chromosomal arms characteristic of active mitosis."
24,3,003.tiff,hard_negative,2,2,64,192,raw,0,0,95,"No, 95% confidence. The cell in the lower-left area shows a darkly stained, condensed nucleus with a rounded, regular shape and an intact nuclear membrane, which is characteristic of a hyperchromatic nucleus rather than the distinct chromosomal configuration of a mitotic figure.","The cell in the lower-left area shows a darkly stained, condensed nucleus with a rounded, regular shape and an intact nuclear membrane, which is characteristic of a hyperchromatic nucleus rather than the distinct chromosomal configuration of a mitotic figure."
24,3,003.tiff,hard_negative,2,2,64,192,bbox,0,0,95,"No, 95% confidence. The cell exhibits a dark, pyknotic, and shrunken appearance with an intact nuclear boundary, which is characteristic of an apoptotic cell rather than a cell undergoing active mitosis.","The cell exhibits a dark, pyknotic, and shrunken appearance with an intact nuclear boundary, which is characteristic of an apoptotic cell rather than a cell undergoing active mitosis."
24,3,003.tiff,hard_negative,2,2,64,192,mask,0,0,95,"No, 95% confidence. The nucleus in the highlighted region is rounded, smooth, and maintains a distinct nuclear boundary, which is characteristic of a hyperchromatic or pyknotic cell rather than a cell undergoing active mitosis.","The nucleus in the highlighted region is rounded, smooth, and maintains a distinct nuclear boundary, which is characteristic of a hyperchromatic or pyknotic cell rather than a cell undergoing active mitosis."
25,3,003.tiff,mitotic,1,2,64,192,raw,1,0,95,"No, 95% confidence. The cell in the lower-left area shows a darkly stained, oval-shaped nucleus with an intact nuclear membrane, which is characteristic of a hyperchromatic nucleus rather than the condensed chromosomal arms of a mitotic figure.","The cell in the lower-left area shows a darkly stained, oval-shaped nucleus with an intact nuclear membrane, which is characteristic of a hyperchromatic nucleus rather than the condensed chromosomal arms of a mitotic figure."
25,3,003.tiff,mitotic,1,2,64,192,bbox,1,1,95,"Yes, 95% confidence. The cell clearly displays the condensed, angular, and organized chromosomal structure characteristic of a mitotic figure in the metaphase stage, with no visible nuclear membrane.","The cell clearly displays the condensed, angular, and organized chromosomal structure characteristic of a mitotic figure in the metaphase stage, with no visible nuclear membrane."
25,3,003.tiff,mitotic,1,2,64,192,mask,1,0,95,"No, 95% confidence. The highlighted nucleus maintains a generally intact, rounded nuclear boundary and lacks the distinct, condensed, and organized chromosomal structure characteristic of an active mitotic figure.","The highlighted nucleus maintains a generally intact, rounded nuclear boundary and lacks the distinct, condensed, and organized chromosomal structure characteristic of an active mitotic figure."
